COD_STAZ,ID_PARAM,DATA_FINE,VALORE,VALIDAZIONE
3000007,38,01/01/2022 01:00,41,S
3000007,38,01/01/2022 02:00,35,S
3000007,38,01/01/2022 03:00,38,S
3000007,38,01/01/2022 04:00,48,S
3000007,38,01/01/2022 05:00,58,S
3000007,38,01/01/2022 06:00,49,S
3000007,38,01/01/2022 07:00,54,S
3000007,38,01/01/2022 08:00,51,S
3000007,38,01/01/2022 09:00,42,S
3000007,38,01/01/2022 10:00,30,S
3000007,38,01/01/2022 11:00,14,S
3000007,38,01/01/2022 12:00,16,S
3000007,38,01/01/2022 13:00,22,S
3000007,38,01/01/2022 14:00,16,S
3000007,38,01/01/2022 15:00,11,S
3000007,38,01/01/2022 16:00,9,S
3000007,38,01/01/2022 17:00,8,S
3000007,38,01/01/2022 18:00,10,S
3000007,38,01/01/2022 19:00,22,S
3000007,38,01/01/2022 20:00,25,S
3000007,38,01/01/2022 21:00,25,S
3000007,38,01/01/2022 22:00,34,S
3000007,38,01/01/2022 23:00,34,S
3000007,38,02/01/2022 00:00,32,S
3000007,38,02/01/2022 01:00,31,S
3000007,38,02/01/2022 02:00,28,S
3000007,38,02/01/2022 03:00,32,S
3000007,38,02/01/2022 04:00,32,S
3000007,38,02/01/2022 05:00,34,S
3000007,38,02/01/2022 06:00,31,S
3000007,38,02/01/2022 07:00,33,S
3000007,38,02/01/2022 08:00,36,S
3000007,38,02/01/2022 09:00,38,S
3000007,38,02/01/2022 10:00,37,S
3000007,38,02/01/2022 11:00,35,S
3000007,38,02/01/2022 12:00,27,S
3000007,38,02/01/2022 13:00,8,S
3000007,38,02/01/2022 14:00,9,S
3000007,38,02/01/2022 15:00,6,S
3000007,38,02/01/2022 16:00,2,S
3000007,38,02/01/2022 17:00,7,S
3000007,38,02/01/2022 18:00,3,S
3000007,38,02/01/2022 19:00,11,S
3000007,38,02/01/2022 20:00,11,S
3000007,38,02/01/2022 21:00,14,S
3000007,38,02/01/2022 22:00,14,S
3000007,38,02/01/2022 23:00,16,S
3000007,38,03/01/2022 00:00,25,S
3000007,38,03/01/2022 01:00,17,S
3000007,38,03/01/2022 02:00,16,S
3000007,38,03/01/2022 03:00,17,S
3000007,38,03/01/2022 04:00,17,S
3000007,38,03/01/2022 05:00,15,S
3000007,38,03/01/2022 06:00,12,S
3000007,38,03/01/2022 07:00,13,S
3000007,38,03/01/2022 08:00,13,S
3000007,38,03/01/2022 09:00,16,S
3000007,38,03/01/2022 10:00,13,S
3000007,38,03/01/2022 11:00,18,S
3000007,38,03/01/2022 12:00,28,S
3000007,38,03/01/2022 13:00,22,S
3000007,38,03/01/2022 14:00,17,S
3000007,38,03/01/2022 15:00,20,S
3000007,38,03/01/2022 16:00,22,S
3000007,38,03/01/2022 17:00,29,S
3000007,38,03/01/2022 18:00,34,S
3000007,38,03/01/2022 19:00,31,S
3000007,38,03/01/2022 20:00,19,S
3000007,38,03/01/2022 21:00,18,S
3000007,38,03/01/2022 22:00,22,S
3000007,38,03/01/2022 23:00,20,S
3000007,38,04/01/2022 00:00,18,S
3000007,38,04/01/2022 01:00,21,S
3000007,38,04/01/2022 02:00,22,S
3000007,38,04/01/2022 03:00,28,S
3000007,38,04/01/2022 04:00,27,S
3000007,38,04/01/2022 05:00,29,S
3000007,38,04/01/2022 06:00,29,S
3000007,38,04/01/2022 07:00,32,S
3000007,38,04/01/2022 08:00,40,S
3000007,38,04/01/2022 09:00,48,S
3000007,38,04/01/2022 10:00,46,S
3000007,38,04/01/2022 11:00,42,S
3000007,38,04/01/2022 12:00,37,S
3000007,38,04/01/2022 13:00,32,S
3000007,38,04/01/2022 14:00,24,S
3000007,38,04/01/2022 15:00,12,S
3000007,38,04/01/2022 16:00,6,S
3000007,38,04/01/2022 17:00,5,S
3000007,38,04/01/2022 18:00,6,S
3000007,38,04/01/2022 19:00,22,S
3000007,38,04/01/2022 20:00,18,S
3000007,38,04/01/2022 21:00,19,S
3000007,38,04/01/2022 22:00,18,S
3000007,38,04/01/2022 23:00,13,S
3000007,38,05/01/2022 00:00,11,S
3000007,38,05/01/2022 01:00,11,S
3000007,38,05/01/2022 02:00,8,S
3000007,38,05/01/2022 03:00,4,S
3000007,38,05/01/2022 04:00,3,S
3000007,38,05/01/2022 05:00,3,S
3000007,38,05/01/2022 06:00,3,S
3000007,38,05/01/2022 07:00,4,S
3000007,38,05/01/2022 08:00,9,S
3000007,38,05/01/2022 09:00,12,S
3000007,38,05/01/2022 10:00,17,S
3000007,38,05/01/2022 11:00,21,S
3000007,38,05/01/2022 12:00,20,S
3000007,38,05/01/2022 13:00,21,S
3000007,38,05/01/2022 14:00,19,S
3000007,38,05/01/2022 15:00,22,S
3000007,38,05/01/2022 16:00,27,S
3000007,38,05/01/2022 17:00,33,S
3000007,38,05/01/2022 18:00,38,S
3000007,38,05/01/2022 19:00,15,S
3000007,38,05/01/2022 20:00,2,S
3000007,38,05/01/2022 21:00,1,S
3000007,38,05/01/2022 22:00,1,S
3000007,38,05/01/2022 23:00,1,S
3000007,38,06/01/2022 00:00,1,S
3000007,38,06/01/2022 01:00,0,S
3000007,38,06/01/2022 02:00,1,S
3000007,38,06/01/2022 03:00,0,S
3000007,38,06/01/2022 04:00,1,S
3000007,38,06/01/2022 05:00,1,S
3000007,38,06/01/2022 06:00,0,S
3000007,38,06/01/2022 07:00,1,S
3000007,38,06/01/2022 08:00,1,S
3000007,38,06/01/2022 09:00,1,S
3000007,38,06/01/2022 10:00,1,S
3000007,38,06/01/2022 11:00,3,S
3000007,38,06/01/2022 12:00,4,S
3000007,38,06/01/2022 13:00,2,S
3000007,38,06/01/2022 14:00,1,S
3000007,38,06/01/2022 15:00,1,S
3000007,38,06/01/2022 16:00,1,S
3000007,38,06/01/2022 17:00,5,S
3000007,38,06/01/2022 18:00,34,S
3000007,38,06/01/2022 19:00,37,S
3000007,38,06/01/2022 20:00,26,S
3000007,38,06/01/2022 21:00,41,S
3000007,38,06/01/2022 22:00,45,S
3000007,38,06/01/2022 23:00,8,S
3000007,38,07/01/2022 00:00,6,S
3000007,38,07/01/2022 01:00,2,S
3000007,38,07/01/2022 02:00,1,S
3000007,38,07/01/2022 03:00,1,S
3000007,38,07/01/2022 04:00,1,S
3000007,38,07/01/2022 05:00,3,S
3000007,38,07/01/2022 06:00,13,S
3000007,38,07/01/2022 07:00,31,S
3000007,38,07/01/2022 08:00,73,S
3000007,38,07/01/2022 09:00,109,S
3000007,38,07/01/2022 10:00,106,S
3000007,38,07/01/2022 11:00,67,S
3000007,38,07/01/2022 12:00,14,S
3000007,38,07/01/2022 13:00,10,S
3000007,38,07/01/2022 14:00,5,S
3000007,38,07/01/2022 15:00,2,S
3000007,38,07/01/2022 16:00,1,S
3000007,38,07/01/2022 17:00,1,S
3000007,38,07/01/2022 18:00,63,S
3000007,38,07/01/2022 19:00,92,S
3000007,38,07/01/2022 20:00,85,S
3000007,38,07/01/2022 21:00,58,S
3000007,38,07/01/2022 22:00,49,S
3000007,38,07/01/2022 23:00,41,S
3000007,38,08/01/2022 00:00,28,S
3000007,38,08/01/2022 01:00,14,S
3000007,38,08/01/2022 02:00,10,S
3000007,38,08/01/2022 03:00,13,S
3000007,38,08/01/2022 04:00,14,S
3000007,38,08/01/2022 05:00,17,S
3000007,38,08/01/2022 06:00,9,S
3000007,38,08/01/2022 07:00,21,S
