COD_STAZ,ID_PARAM,DATA_FINE,VALORE,VALIDAZIONE
3000025,9,01/01/2022 01:00,120,S
3000025,9,01/01/2022 02:00,150,S
3000025,9,01/01/2022 03:00,138,S
3000025,9,01/01/2022 04:00,149,S
3000025,9,01/01/2022 05:00,104,S
3000025,9,01/01/2022 06:00,98,S
3000025,9,01/01/2022 07:00,108,S
3000025,9,01/01/2022 08:00,76,S
3000025,9,01/01/2022 09:00,63,S
3000025,9,01/01/2022 10:00,59,S
3000025,9,01/01/2022 11:00,58,S
3000025,9,01/01/2022 12:00,66,S
3000025,9,01/01/2022 13:00,64,S
3000025,9,01/01/2022 14:00,59,S
3000025,9,01/01/2022 15:00,66,S
3000025,9,01/01/2022 16:00,65,S
3000025,9,01/01/2022 17:00,73,S
3000025,9,01/01/2022 18:00,89,S
3000025,9,01/01/2022 19:00,98,S
3000025,9,01/01/2022 20:00,88,S
3000025,9,01/01/2022 21:00,89,S
3000025,9,01/01/2022 22:00,79,S
3000025,9,01/01/2022 23:00,85,S
3000025,9,02/01/2022 00:00,93,S
3000025,9,02/01/2022 01:00,85,S
3000025,9,02/01/2022 02:00,85,S
3000025,9,02/01/2022 03:00,76,S
3000025,9,02/01/2022 04:00,77,S
3000025,9,02/01/2022 05:00,73,S
3000025,9,02/01/2022 06:00,76,S
3000025,9,02/01/2022 07:00,94,S
3000025,9,02/01/2022 08:00,103,S
3000025,9,02/01/2022 09:00,110,S
3000025,9,02/01/2022 10:00,111,S
3000025,9,02/01/2022 11:00,114,S
3000025,9,02/01/2022 12:00,111,S
3000025,9,02/01/2022 13:00,78,S
3000025,9,02/01/2022 14:00,66,S
3000025,9,02/01/2022 15:00,61,S
3000025,9,02/01/2022 16:00,49,S
3000025,9,02/01/2022 17:00,72,S
3000025,9,02/01/2022 18:00,73,S
3000025,9,02/01/2022 19:00,102,S
3000025,9,02/01/2022 20:00,121,S
3000025,9,02/01/2022 21:00,132,S
3000025,9,02/01/2022 22:00,148,S
3000025,9,02/01/2022 23:00,133,S
3000025,9,03/01/2022 00:00,95,S
3000025,9,03/01/2022 01:00,75,S
3000025,9,03/01/2022 03:00,52,S
3000025,9,03/01/2022 04:00,53,S
3000025,9,03/01/2022 05:00,52,S
3000025,9,03/01/2022 06:00,49,S
3000025,9,03/01/2022 07:00,55,S
3000025,9,03/01/2022 08:00,72,S
3000025,9,03/01/2022 09:00,80,S
3000025,9,03/01/2022 10:00,83,S
3000025,9,03/01/2022 11:00,112,S
3000025,9,03/01/2022 12:00,102,S
3000025,9,03/01/2022 13:00,111,S
3000025,9,03/01/2022 14:00,85,S
3000025,9,03/01/2022 15:00,69,S
3000025,9,03/01/2022 16:00,89,S
3000025,9,03/01/2022 17:00,94,S
3000025,9,03/01/2022 18:00,112,S
3000025,9,03/01/2022 19:00,106,S
3000025,9,03/01/2022 20:00,97,S
3000025,9,03/01/2022 21:00,92,S
3000025,9,03/01/2022 22:00,81,S
3000025,9,03/01/2022 23:00,71,S
3000025,9,04/01/2022 00:00,71,S
3000025,9,04/01/2022 01:00,69,S
3000025,9,04/01/2022 02:00,66,S
3000025,9,04/01/2022 03:00,67,S
3000025,9,04/01/2022 04:00,61,S
3000025,9,04/01/2022 05:00,66,S
3000025,9,04/01/2022 07:00,97,S
3000025,9,04/01/2022 08:00,119,S
3000025,9,04/01/2022 09:00,138,S
3000025,9,04/01/2022 10:00,143,S
3000025,9,04/01/2022 11:00,126,S
3000025,9,04/01/2022 12:00,108,S
3000025,9,04/01/2022 16:00,63,S
3000025,9,04/01/2022 17:00,82,S
3000025,9,04/01/2022 18:00,85,S
3000025,9,04/01/2022 19:00,105,S
3000025,9,04/01/2022 20:00,115,S
3000025,9,04/01/2022 21:00,117,S
3000025,9,04/01/2022 22:00,105,S
3000025,9,04/01/2022 23:00,98,S
3000025,9,05/01/2022 00:00,92,S
3000025,9,05/01/2022 01:00,64,S
3000025,9,05/01/2022 02:00,57,S
3000025,9,05/01/2022 03:00,47,S
3000025,9,05/01/2022 04:00,41,S
3000025,9,05/01/2022 05:00,41,S
3000025,9,05/01/2022 06:00,43,S
3000025,9,05/01/2022 07:00,50,S
3000025,9,05/01/2022 08:00,75,S
3000025,9,05/01/2022 09:00,90,S
3000025,9,05/01/2022 10:00,100,S
